ID;Jenis Kelamin;Marital status;Usia;Pendidikan;Pendapatan;Pekerjaan;Settlement size
100000036;Pria;Belum Menikah;25;Unknown;104505;Tidak Bekerja;Small
100000037;Pria;Belum Menikah;31;Unknown;143385;Amatir;Big
100000038;Pria;Belum Menikah;37;SMA;127676;Amatir;Mid
100000039;Pria;Belum Menikah;37;SMA;119276;Amatir;Mid
100000040;Pria;Belum Menikah;24;Unknown;92542;Amatir;Mid
100000041;Pria;Belum Menikah;30;Unknown;163329;Proffesional;Mid
100000042;Pria;Menikah;26;SMA;130921;Amatir;Small
100000043;Pria;Belum Menikah;44;SMA;133658;Tidak Bekerja;Small
100000044;Pria;Menikah;24;SMA;155104;Amatir;Mid
100000045;Wanita;Menikah;58;S1;142335;Tidak Bekerja;Mid
100000046;Wanita;Menikah;35;SMA;138387;Proffesional;Mid
100000047;Pria;Belum Menikah;39;SMA;140182;Amatir;Small
100000048;Wanita;Menikah;23;SMA;65421;Tidak Bekerja;Small
100000049;Pria;Belum Menikah;39;SMA;130500;Tidak Bekerja;Small
100000050;Wanita;Menikah;28;SMA;122831;Amatir;Small
100000051;Pria;Belum Menikah;29;Unknown;84531;Tidak Bekerja;Small
100000052;Pria;Belum Menikah;30;Unknown;180196;Proffesional;Big
100000053;Pria;Belum Menikah;25;Unknown;92058;Amatir;Big
100000054;Pria;Belum Menikah;31;Unknown;117158;Amatir;Small
100000055;Pria;Belum Menikah;57;S1;135830;Amatir;Mid
100000056;Pria;Belum Menikah;26;Unknown;58258;Tidak Bekerja;Small
100000057;Pria;Belum Menikah;52;SMA;202575;Proffesional;Big
100000058;Wanita;Menikah;31;SMA;183657;Amatir;Mid
100000059;Wanita;Menikah;23;SMA;152267;Proffesional;Mid
100000060;Wanita;Menikah;23;SMA;115240;Tidak Bekerja;Small
100000061;Pria;Menikah;27;SMA;106955;Amatir;Big
100000062;Pria;Belum Menikah;50;SMA;123641;Amatir;Mid
100000063;Pria;Belum Menikah;61;S1;166410;Proffesional;Mid
100000064;Pria;Belum Menikah;25;Unknown;227385;Amatir;Big
100000065;Wanita;Menikah;26;SMA;118372;Amatir;Mid
100000066;Pria;Belum Menikah;48;SMA;148115;Amatir;Mid
100000067;Wanita;Menikah;29;SMA;111069;Amatir;Small
100000068;Pria;Menikah;22;SMA;139780;Amatir;Small
100000069;Pria;Belum Menikah;37;SMA;106978;Amatir;Big
100000070;Wanita;Menikah;25;SMA;110019;Amatir;Big
100000071;Wanita;Menikah;30;SMA;169102;Amatir;Mid
100000072;Pria;Belum Menikah;46;SMA;73703;Tidak Bekerja;Small
100000073;Pria;Belum Menikah;51;SMA;141858;Proffesional;Big
100000074;Wanita;Menikah;41;S1;135959;Tidak Bekerja;Small
100000075;Pria;Belum Menikah;40;SMA;140888;Proffesional;Big
100000076;Pria;Belum Menikah;66;S1;157299;Proffesional;Big
100000077;Pria;Belum Menikah;34;SMA;125187;Amatir;Mid
100000078;Pria;Belum Menikah;51;SMA;155486;Amatir;Big
100000079;Pria;Belum Menikah;39;SMA;151697;Tidak Bekerja;Small
100000080;Pria;Menikah;22;SMA;126400;Amatir;Mid
100000081;Wanita;Menikah;44;S1;159246;Amatir;Big
100000082;Pria;Belum Menikah;47;SMA;136138;Amatir;Mid
100000083;Wanita;Menikah;24;SMA;84792;Tidak Bekerja;Small
100000084;Wanita;Menikah;58;S1;100210;Tidak Bekerja;Small
100000085;Pria;Belum Menikah;52;SMA;93706;Tidak Bekerja;Small
100000086;Wanita;Menikah;29;SMA;133783;Proffesional;Mid
100000087;Wanita;Menikah;27;SMA;110064;Amatir;Big
100000088;Pria;Belum Menikah;47;SMA;241068;Amatir;Mid
100000089;Pria;Belum Menikah;30;Unknown;149022;Proffesional;Big
100000090;Pria;Belum Menikah;28;Unknown;92973;Amatir;Big
100000091;Pria;Belum Menikah;56;SMA;110605;Amatir;Mid
100000092;Pria;Belum Menikah;54;SMA;116604;Amatir;Mid
100000093;Wanita;Menikah;33;SMA;71070;Tidak Bekerja;Small
100000094;Pria;Belum Menikah;20;Unknown;128678;Amatir;Mid
100000095;Pria;Belum Menikah;54;SMA;165230;Amatir;Big
100000096;Pria;Belum Menikah;58;S1;268340;Amatir;Mid
100000097;Wanita;Menikah;61;S1;135070;Amatir;Mid
100000098;Pria;Belum Menikah;34;SMA;134794;Amatir;Big
100000099;Pria;Belum Menikah;36;SMA;120153;Amatir;Mid
100000100;Pria;Belum Menikah;36;SMA;195465;Proffesional;Big
100000101;Pria;Menikah;41;SMA;93372;Tidak Bekerja;Small
100000102;Pria;Belum Menikah;24;Unknown;110446;Amatir;Small
100000103;Wanita;Menikah;24;SMA;95186;Amatir;Mid
100000104;Pria;Belum Menikah;35;SMA;115343;Amatir;Mid
100000105;Pria;Menikah;26;SMA;107276;Amatir;Mid
100000106;Pria;Belum Menikah;39;SMA;244716;Proffesional;Big
100000107;Pria;Belum Menikah;39;SMA;183108;Proffesional;Big
100000108;Pria;Belum Menikah;32;Unknown;152876;Amatir;Big
100000109;Wanita;Menikah;30;SMA;165147;Amatir;Small
100000110;Pria;Menikah;35;SMA;140520;Amatir;Small
100000111;Pria;Menikah;31;SMA;124203;Amatir;Mid
100000112;Wanita;Menikah;23;SMA;107205;Amatir;Mid
100000113;Pria;Belum Menikah;28;Unknown;121432;Tidak Bekerja;Big
100000114;Wanita;Menikah;25;SMA;162445;Amatir;Small
100000115;Pria;Menikah;35;SMA;134112;Amatir;Mid
100000116;Pria;Belum Menikah;47;SMA;131842;Amatir;Mid
100000117;Wanita;Menikah;30;SMA;189896;Proffesional;Small
100000118;Wanita;Menikah;27;SMA;109099;Amatir;Big
100000119;Wanita;Menikah;23;SMA;153539;Amatir;Mid
100000120;Pria;Menikah;36;SMA;180495;Proffesional;Mid
100000121;Wanita;Menikah;25;SMA;104653;Amatir;Big
100000122;Wanita;Menikah;41;S1;166933;Proffesional;Big
100000123;Pria;Belum Menikah;24;Unknown;66118;Tidak Bekerja;Small
100000124;Pria;Belum Menikah;63;S1;135754;Amatir;Small
100000125;Wanita;Menikah;27;SMA;116103;Amatir;Big
100000126;Pria;Belum Menikah;30;Unknown;104293;Amatir;Mid
100000127;Pria;Menikah;40;SMA;71702;Tidak Bekerja;Small
100000128;Pria;Belum Menikah;30;Unknown;99066;Amatir;Big
100000129;Pria;Belum Menikah;34;SMA;143979;Proffesional;Big
100000130;Wanita;Menikah;29;SMA;123818;Amatir;Small
100000131;Wanita;Menikah;24;SMA;176714;Amatir;Big
100000132;Pria;Belum Menikah;29;Unknown;149249;Amatir;Big
100000133;Pria;Belum Menikah;27;Unknown;77535;Tidak Bekerja;Small
100000134;Pria;Belum Menikah;47;SMA;116540;Amatir;Mid
100000135;Wanita;Menikah;21;SMA;194728;Amatir;Small
100000136;Wanita;Menikah;38;SMA;109311;Amatir;Big
100000137;Pria;Belum Menikah;27;Unknown;204723;Amatir;Big
100000138;Pria;Belum Menikah;66;S1;126003;Tidak Bekerja;Small
100000139;Pria;Belum Menikah;35;SMA;123109;Amatir;Mid
100000140;Wanita;Menikah;44;S1;108251;Tidak Bekerja;Small
100000141;Pria;Menikah;27;SMA;89908;Tidak Bekerja;Small
100000142;Wanita;Menikah;30;SMA;176057;Proffesional;Mid
100000143;Pria;Belum Menikah;27;Unknown;144332;Proffesional;Big
100000144;Pria;Belum Menikah;22;Unknown;101185;Amatir;Mid
100000145;Wanita;Menikah;23;SMA;107406;Amatir;Big
100000146;Pria;Belum Menikah;30;Unknown;140665;Amatir;Mid
100000147;Wanita;Menikah;39;S1;106461;Amatir;Small
100000148;Wanita;Menikah;51;S1;127825;Amatir;Small
100000149;Pria;Belum Menikah;28;Unknown;133898;Amatir;Mid
100000150;Pria;Belum Menikah;46;SMA;152383;Amatir;Big
100000151;Pria;Belum Menikah;42;SMA;119926;Amatir;Small
100000152;Pria;Belum Menikah;38;SMA;108784;Amatir;Big
100000153;Pria;Belum Menikah;24;Unknown;153286;Amatir;Mid
100000154;Wanita;Menikah;29;SMA;214204;Amatir;Big
100000155;Pria;Belum Menikah;36;SMA;208101;Proffesional;Big
100000156;Wanita;Menikah;20;SMA;95355;Amatir;Mid
100000157;Pria;Belum Menikah;48;SMA;124156;Amatir;Mid
100000158;Pria;Menikah;45;S1;72215;Tidak Bekerja;Small
100000159;Pria;Belum Menikah;38;SMA;146529;Amatir;Big
100000160;Pria;Belum Menikah;34;SMA;75343;Tidak Bekerja;Small
100000161;Pria;Belum Menikah;36;SMA;129789;Amatir;Mid
100000162;Wanita;Menikah;30;SMA;101153;Amatir;Mid
100000163;Pria;Belum Menikah;36;SMA;127833;Amatir;Big
100000164;Pria;Belum Menikah;70;S1;224998;Proffesional;Big
100000165;Pria;Belum Menikah;36;SMA;124445;Amatir;Big
100000166;Pria;Belum Menikah;32;Unknown;141116;Amatir;Mid
100000167;Wanita;Menikah;33;SMA;104276;Amatir;Big
100000168;Wanita;Menikah;20;SMA;147687;Amatir;Big
100000169;Wanita;Menikah;25;SMA;125168;Amatir;Mid
100000170;Pria;Menikah;31;SMA;115369;Amatir;Big
100000171;Pria;Belum Menikah;33;SMA;95445;Amatir;Small
100000172;Wanita;Menikah;26;SMA;95159;Amatir;Mid
100000173;Wanita;Menikah;34;SMA;153031;Proffesional;Big
100000174;Pria;Belum Menikah;33;SMA;108899;Amatir;Small
100000175;Pria;Belum Menikah;26;Unknown;113515;Amatir;Mid
100000176;Wanita;Menikah;53;S1;211229;Proffesional;Small
100000177;Pria;Menikah;42;S1;121307;Amatir;Small
100000178;Pria;Belum Menikah;52;SMA;131727;Amatir;Big
100000179;Pria;Belum Menikah;31;Unknown;133574;Proffesional;Mid
100000180;Pria;Belum Menikah;65;S1;117334;Amatir;Small
100000181;Pria;Menikah;28;SMA;177291;Amatir;Big
100000182;Pria;Menikah;30;SMA;168763;Proffesional;Mid
100000183;Pria;Belum Menikah;40;SMA;77720;Tidak Bekerja;Small
100000184;Pria;Belum Menikah;50;SMA;176645;Amatir;Big
100000185;Pria;Belum Menikah;36;SMA;106205;Amatir;Mid
100000186;Pria;Belum Menikah;31;Unknown;97785;Amatir;Mid
100000187;Wanita;Menikah;74;S2;214364;Proffesional;Mid
100000188;Pria;Belum Menikah;68;S1;74525;Tidak Bekerja;Small
100000189;Pria;Menikah;20;SMA;98988;Amatir;Small
100000190;Wanita;Menikah;33;SMA;133561;Amatir;Mid
100000191;Pria;Belum Menikah;54;SMA;217651;Proffesional;Big
100000192;Pria;Belum Menikah;34;SMA;116525;Tidak Bekerja;Small
100000193;Pria;Belum Menikah;36;SMA;135302;Amatir;Big
100000194;Pria;Menikah;29;SMA;106434;Amatir;Mid
100000195;Pria;Belum Menikah;21;Unknown;128350;Amatir;Big
100000196;Wanita;Menikah;34;SMA;147626;Proffesional;Big
100000197;Wanita;Menikah;28;SMA;102697;Amatir;Small
100000198;Wanita;Menikah;27;SMA;120262;Amatir;Small
100000199;Pria;Belum Menikah;36;SMA;124214;Amatir;Big
100000200;Pria;Menikah;40;SMA;175223;Proffesional;Mid
100000201;Pria;Belum Menikah;52;SMA;137467;Amatir;Small
100000202;Pria;Menikah;27;SMA;65815;Tidak Bekerja;Small
100000203;Pria;Belum Menikah;26;Unknown;129864;Amatir;Mid
100000204;Pria;Menikah;21;SMA;88475;Amatir;Mid
100000205;Pria;Belum Menikah;38;SMA;74666;Tidak Bekerja;Small
100000206;Pria;Belum Menikah;38;SMA;222294;Proffesional;Big
100000207;Pria;Belum Menikah;43;SMA;112878;Amatir;Small
100000208;Pria;Belum Menikah;26;Unknown;103411;Amatir;Big
100000209;Pria;Menikah;21;SMA;112868;Tidak Bekerja;Small
100000210;Pria;Belum Menikah;55;SMA;157940;Amatir;Big
100000211;Pria;Belum Menikah;33;SMA;115835;Amatir;Big
100000212;Wanita;Menikah;45;S1;109807;Tidak Bekerja;Small
100000213;Pria;Belum Menikah;50;SMA;150699;Amatir;Mid
100000214;Pria;Belum Menikah;66;S1;178967;Proffesional;Small
100000215;Pria;Belum Menikah;51;SMA;132767;Amatir;Small
100000216;Wanita;Menikah;39;S1;86152;Tidak Bekerja;Small
100000217;Pria;Belum Menikah;31;Unknown;114528;Amatir;Big
100000218;Pria;Belum Menikah;23;Unknown;133912;Amatir;Mid
100000219;Pria;Menikah;24;SMA;81210;Tidak Bekerja;Small
100000220;Wanita;Menikah;64;S2;131242;Amatir;Small
100000221;Pria;Menikah;26;SMA;68804;Tidak Bekerja;Small
100000222;Wanita;Menikah;23;SMA;96961;Amatir;Mid
100000223;Pria;Belum Menikah;30;Unknown;90719;Amatir;Big
100000224;Pria;Belum Menikah;32;Unknown;114116;Amatir;Mid
100000225;Pria;Belum Menikah;30;Unknown;128639;Amatir;Mid
100000226;Pria;Belum Menikah;27;Unknown;106623;Amatir;Mid
100000227;Pria;Belum Menikah;27;Unknown;236264;Amatir;Mid
100000228;Pria;Belum Menikah;53;SMA;207783;Proffesional;Mid
100000229;Pria;Belum Menikah;22;Unknown;91739;Amatir;Mid
100000230;Pria;Belum Menikah;22;Unknown;107780;Amatir;Big
100000231;Pria;Belum Menikah;26;Unknown;139157;Amatir;Big
100000232;Pria;Belum Menikah;51;SMA;121751;Tidak Bekerja;Small
100000233;Pria;Belum Menikah;35;SMA;121974;Amatir;Small
100000234;Pria;Menikah;25;SMA;70320;Tidak Bekerja;Small
100000235;Pria;Belum Menikah;42;SMA;78327;Tidak Bekerja;Small
100000236;Pria;Belum Menikah;30;Unknown;131433;Proffesional;Small
100000237;Pria;Belum Menikah;23;Unknown;167076;Tidak Bekerja;Big
100000238;Pria;Menikah;61;S1;130788;Tidak Bekerja;Small
100000239;Wanita;Menikah;35;SMA;107408;Amatir;Mid
100000240;Pria;Belum Menikah;39;SMA;115323;Amatir;Mid
100000241;Wanita;Menikah;29;SMA;99012;Amatir;Small
100000242;Pria;Belum Menikah;51;SMA;115996;Amatir;Mid
100000243;Pria;Belum Menikah;24;Unknown;123353;Amatir;Mid
100000244;Wanita;Menikah;27;SMA;100008;Amatir;Small
100000245;Wanita;Menikah;35;SMA;125105;Tidak Bekerja;Small
100000246;Pria;Belum Menikah;25;Unknown;92020;Amatir;Big
100000247;Pria;Belum Menikah;52;SMA;108365;Amatir;Big
100000248;Pria;Belum Menikah;35;SMA;112979;Amatir;Small
100000249;Pria;Belum Menikah;26;Unknown;117221;Amatir;Mid
100000250;Wanita;Menikah;22;SMA;88800;Amatir;Big
100000251;Wanita;Menikah;39;S1;115099;Tidak Bekerja;Small
100000252;Wanita;Menikah;46;S1;113399;Tidak Bekerja;Small
100000253;Wanita;Menikah;24;SMA;115879;Amatir;Mid
100000254;Pria;Belum Menikah;35;SMA;141270;Amatir;Big
100000255;Pria;Belum Menikah;24;Unknown;107633;Amatir;Mid
100000256;Pria;Belum Menikah;27;Unknown;131751;Tidak Bekerja;Small
100000257;Pria;Belum Menikah;35;SMA;83687;Tidak Bekerja;Small
100000258;Pria;Menikah;29;SMA;106828;Amatir;Big
100000259;Wanita;Menikah;23;SMA;135537;Amatir;Mid
100000260;Wanita;Menikah;57;S1;107142;Tidak Bekerja;Small
100000261;Pria;Belum Menikah;27;Unknown;97446;Amatir;Mid
100000262;Wanita;Menikah;55;S1;126357;Amatir;Big
100000263;Pria;Belum Menikah;36;SMA;169617;Proffesional;Mid
100000264;Wanita;Menikah;57;S1;108945;Tidak Bekerja;Small
100000265;Pria;Belum Menikah;32;Unknown;67345;Tidak Bekerja;Small
100000266;Pria;Belum Menikah;37;SMA;106215;Amatir;Small
100000267;Pria;Belum Menikah;36;SMA;149237;Amatir;Small
100000268;Wanita;Menikah;38;SMA;112124;Amatir;Small
100000269;Pria;Menikah;45;S1;215150;Proffesional;Big
100000270;Pria;Belum Menikah;25;Unknown;89534;Amatir;Mid
100000271;Pria;Belum Menikah;32;Unknown;111082;Amatir;Big
100000272;Wanita;Menikah;37;SMA;137069;Amatir;Mid
100000273;Pria;Belum Menikah;36;SMA;244541;Proffesional;Big
100000274;Pria;Belum Menikah;28;Unknown;120712;Amatir;Mid
100000275;Pria;Menikah;34;SMA;175367;Tidak Bekerja;Small
100000276;Pria;Belum Menikah;32;Unknown;111418;Amatir;Mid
100000277;Wanita;Menikah;26;SMA;110913;Amatir;Small
100000278;Pria;Menikah;49;S1;84267;Tidak Bekerja;Small
100000279;Wanita;Menikah;32;SMA;136886;Amatir;Big
100000280;Pria;Belum Menikah;29;Unknown;144884;Proffesional;Big
100000281;Pria;Belum Menikah;23;Unknown;151180;Amatir;Mid
100000282;Pria;Belum Menikah;50;SMA;114997;Amatir;Mid
100000283;Pria;Belum Menikah;49;SMA;100961;Tidak Bekerja;Small
100000284;Pria;Belum Menikah;63;S1;124849;Amatir;Big
100000285;Pria;Menikah;37;SMA;152308;Amatir;Big
100000286;Wanita;Menikah;35;SMA;167945;Tidak Bekerja;Mid
100000287;Pria;Belum Menikah;26;Unknown;126706;Amatir;Big
100000288;Pria;Belum Menikah;31;Unknown;210017;Proffesional;Big
100000289;Wanita;Menikah;49;S1;125665;Amatir;Mid
100000290;Pria;Menikah;48;S1;111184;Amatir;Mid
100000291;Pria;Menikah;26;SMA;94134;Amatir;Small
100000292;Pria;Menikah;28;SMA;214620;Proffesional;Mid
100000293;Wanita;Menikah;44;S1;193816;Proffesional;Mid
100000294;Pria;Belum Menikah;56;SMA;168714;Amatir;Mid
100000295;Pria;Menikah;46;S1;202997;Proffesional;Mid
100000296;Wanita;Menikah;26;SMA;192451;Amatir;Big
100000297;Wanita;Menikah;20;SMA;127928;Amatir;Big
100000298;Pria;Belum Menikah;45;SMA;78253;Tidak Bekerja;Small
100000299;Pria;Belum Menikah;43;SMA;118446;Amatir;Mid
100000300;Pria;Belum Menikah;32;Unknown;161379;Amatir;Big
100000301;Wanita;Menikah;54;S1;56622;Tidak Bekerja;Small
100000302;Wanita;Menikah;42;S1;146117;Amatir;Mid
100000303;Pria;Belum Menikah;37;SMA;90418;Tidak Bekerja;Small
100000304;Pria;Belum Menikah;49;SMA;109053;Amatir;Small
100000305;Pria;Belum Menikah;44;SMA;219319;Amatir;Small
100000306;Pria;Menikah;33;SMA;144701;Amatir;Mid
100000307;Wanita;Menikah;24;SMA;102425;Tidak Bekerja;Small
100000308;Pria;Menikah;33;SMA;79867;Tidak Bekerja;Small
100000309;Wanita;Menikah;24;SMA;107114;Amatir;Big
100000310;Pria;Menikah;22;SMA;62263;Tidak Bekerja;Small
100000311;Pria;Belum Menikah;40;SMA;92567;Tidak Bekerja;Small
100000312;Pria;Belum Menikah;25;Unknown;146349;Amatir;Small
100000313;Wanita;Menikah;26;SMA;141825;Amatir;Mid
100000314;Pria;Menikah;25;SMA;68582;Tidak Bekerja;Small
100000315;Pria;Belum Menikah;29;Unknown;85476;Tidak Bekerja;Small
100000316;Pria;Belum Menikah;31;Unknown;111091;Amatir;Big
100000317;Pria;Belum Menikah;38;SMA;67110;Tidak Bekerja;Small
100000318;Wanita;Menikah;48;S1;126154;Tidak Bekerja;Small
100000319;Pria;Belum Menikah;32;Unknown;92257;Amatir;Big
100000320;Wanita;Menikah;27;SMA;93605;Tidak Bekerja;Small
100000321;Pria;Menikah;28;SMA;165190;Proffesional;Small
100000322;Pria;Menikah;32;SMA;107195;Amatir;Small
100000323;Pria;Belum Menikah;34;SMA;145059;Proffesional;Small
100000324;Pria;Belum Menikah;28;Unknown;148363;Amatir;Small
100000325;Wanita;Menikah;36;SMA;105681;Amatir;Big
100000326;Pria;Belum Menikah;39;SMA;93732;Tidak Bekerja;Small
100000327;Pria;Belum Menikah;49;SMA;154778;Amatir;Big
100000328;Wanita;Menikah;34;SMA;149356;Amatir;Big
100000329;Pria;Belum Menikah;31;Unknown;145670;Amatir;Mid
100000330;Pria;Belum Menikah;28;Unknown;101589;Amatir;Big
100000331;Pria;Belum Menikah;75;S1;213333;Proffesional;Mid
100000332;Wanita;Menikah;30;SMA;122420;Amatir;Small
100000333;Wanita;Menikah;24;SMA;209856;Proffesional;Mid
100000334;Wanita;Menikah;24;SMA;181003;Tidak Bekerja;Small
100000335;Pria;Belum Menikah;23;Unknown;117804;Amatir;Mid
100000336;Pria;Menikah;44;S1;160650;Proffesional;Mid
100000337;Wanita;Menikah;23;SMA;84611;Tidak Bekerja;Small
100000338;Wanita;Menikah;24;SMA;98479;Amatir;Big
100000339;Pria;Belum Menikah;28;Unknown;122359;Amatir;Big
100000340;Pria;Menikah;31;SMA;81394;Tidak Bekerja;Small
100000341;Wanita;Menikah;24;SMA;150372;Amatir;Mid
100000342;Wanita;Menikah;26;SMA;92385;Tidak Bekerja;Small
100000343;Pria;Menikah;25;SMA;149851;Amatir;Big
100000344;Pria;Belum Menikah;33;SMA;167939;Proffesional;Mid
100000345;Pria;Belum Menikah;37;SMA;115426;Tidak Bekerja;Small
100000346;Wanita;Menikah;43;S1;85402;Tidak Bekerja;Small
100000347;Pria;Belum Menikah;23;Unknown;95815;Amatir;Big
100000348;Wanita;Menikah;23;SMA;97518;Tidak Bekerja;Small
100000349;Pria;Belum Menikah;34;SMA;87355;Tidak Bekerja;Small
100000350;Pria;Belum Menikah;32;Unknown;145933;Amatir;Mid
100000351;Wanita;Menikah;23;SMA;97307;Amatir;Small
100000352;Wanita;Menikah;29;SMA;108434;Amatir;Big
100000353;Pria;Belum Menikah;38;SMA;151312;Proffesional;Mid
100000354;Pria;Belum Menikah;28;Unknown;141847;Amatir;Mid
100000355;Pria;Belum Menikah;46;SMA;130675;Amatir;Big
100000356;Pria;Belum Menikah;23;Unknown;69309;Tidak Bekerja;Small
100000357;Pria;Belum Menikah;49;SMA;121466;Amatir;Big
100000358;Pria;Belum Menikah;26;Unknown;153586;Proffesional;Big
100000359;Pria;Menikah;28;SMA;92849;Amatir;Small
100000360;Wanita;Menikah;23;SMA;108539;Amatir;Big
100000361;Pria;Belum Menikah;61;S1;129556;Amatir;Big
100000362;Pria;Belum Menikah;37;SMA;170146;Proffesional;Small
100000363;Wanita;Menikah;36;SMA;135383;Amatir;Mid
100000364;Pria;Menikah;21;SMA;96769;Amatir;Big
100000365;Pria;Belum Menikah;25;Unknown;43684;Tidak Bekerja;Small
100000366;Pria;Belum Menikah;36;SMA;103521;Amatir;Small
100000367;Pria;Belum Menikah;27;Unknown;118499;Amatir;Mid
100000368;Wanita;Menikah;22;SMA;119684;Amatir;Big
100000369;Pria;Belum Menikah;42;SMA;126586;Amatir;Mid
100000370;Wanita;Menikah;40;S1;136812;Amatir;Big
100000371;Pria;Belum Menikah;36;SMA;118277;Amatir;Mid
100000372;Pria;Belum Menikah;33;SMA;144597;Amatir;Mid
100000373;Wanita;Menikah;23;SMA;106043;Amatir;Small
100000374;Pria;Belum Menikah;63;S1;272314;Proffesional;Big
100000375;Wanita;Menikah;60;S1;309364;Proffesional;Big
100000376;Wanita;Menikah;37;SMA;170386;Amatir;Mid
100000377;Pria;Menikah;34;SMA;112458;Amatir;Small
100000378;Pria;Belum Menikah;36;SMA;96840;Amatir;Mid
100000379;Pria;Belum Menikah;57;S1;281923;Proffesional;Mid
100000380;Wanita;Menikah;52;S1;95551;Tidak Bekerja;Small
100000381;Pria;Belum Menikah;39;SMA;112347;Amatir;Big
100000382;Wanita;Menikah;38;SMA;260977;Proffesional;Big
100000383;Wanita;Menikah;25;SMA;99354;Amatir;Small
100000384;Pria;Belum Menikah;26;Unknown;111509;Amatir;Big
100000385;Pria;Belum Menikah;26;Unknown;105252;Tidak Bekerja;Small
100000386;Wanita;Menikah;25;SMA;108522;Amatir;Small
100000387;Wanita;Menikah;21;SMA;94655;Amatir;Mid
100000388;Pria;Belum Menikah;40;SMA;201699;Proffesional;Mid
100000389;Pria;Belum Menikah;27;Unknown;139868;Amatir;Big
100000390;Wanita;Menikah;27;SMA;102543;Amatir;Mid
100000391;Pria;Menikah;30;SMA;134467;Proffesional;Big
100000392;Wanita;Menikah;19;SMA;111187;Tidak Bekerja;Small
100000393;Pria;Belum Menikah;39;SMA;152302;Proffesional;Mid
100000394;Wanita;Menikah;31;SMA;110610;Amatir;Big
100000395;Pria;Belum Menikah;31;Unknown;137827;Proffesional;Big
100000396;Pria;Belum Menikah;32;Unknown;220923;Amatir;Big
100000397;Wanita;Menikah;55;S1;165717;Proffesional;Big
100000398;Pria;Menikah;46;S1;122299;Amatir;Small
100000399;Pria;Menikah;46;S1;120499;Amatir;Small
100000400;Wanita;Menikah;43;S1;126449;Tidak Bekerja;Small
100000401;Pria;Menikah;39;SMA;108315;Amatir;Big
100000402;Pria;Menikah;28;SMA;112515;Amatir;Mid
100000403;Pria;Belum Menikah;27;Unknown;164559;Amatir;Mid
100000404;Pria;Belum Menikah;27;Unknown;59238;Tidak Bekerja;Small
100000405;Pria;Belum Menikah;43;SMA;131133;Amatir;Small
100000406;Pria;Menikah;22;SMA;109188;Amatir;Small
100000407;Pria;Belum Menikah;43;SMA;115393;Amatir;Mid
100000408;Pria;Menikah;27;SMA;94711;Amatir;Big
100000409;Pria;Menikah;26;SMA;171860;Proffesional;Small
100000410;Pria;Menikah;28;SMA;139414;Amatir;Big
100000411;Wanita;Menikah;20;SMA;110931;Amatir;Mid
100000412;Pria;Belum Menikah;35;SMA;187549;Proffesional;Big
100000413;Pria;Belum Menikah;42;SMA;145508;Proffesional;Small
